path,latency,noise,SNR
A->D->B->F->E->C,0.010961593197783805,2.1923186395567613e-09,56.59096323662049
B->A->C->D->F->E,0.010987142474014557,2.1974284948029118e-09,56.58085248139414
D->B->A->C->E->F,0.011061124183081097,2.2122248366162197e-09,56.551707361650074
D->C->A->B->F->E,0.011170580991367276,2.234116198273456e-09,56.50894242609577
C->A->B->D->E->F,0.011197300506580707,2.2394601013161416e-09,56.498566706305866
B->D->A->C->E->F,0.011197300506580705,2.2394601013161416e-09,56.498566706305866
C->A->B->D->F->E,0.011245919649091394,2.249183929818279e-09,56.47975028139772
A->C->E->F->D->B,0.011245919649091394,2.249183929818279e-09,56.47975028139772
B->F->E->C->A->D,0.01127174863010126,2.254349726020252e-09,56.4697870927528
C->A->B->F->E->D,0.01127174863010126,2.254349726020252e-09,56.4697870927528
A->C->D->E->F->B,0.011306757314866885,2.2613514629733774e-09,56.456319336441766
B->F->E->D->A->C,0.011407924953600867,2.2815849907201736e-09,56.417633488008995
A->C->E->F->B->D,0.011429358166444113,2.2858716332888227e-09,56.409481617446
A->C->D->B->F->E,0.011464366851209738,2.292873370241948e-09,56.396199296240724
C->A->D->B->F->E,0.01156553448994372,2.3131068979887446e-09,56.358042962679136
